seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1246620	1246760	141	*	X00115	116983	1227764	1244989	17226	-	1630	upstream	1630	ACAP3
chr1	1477102	1477148	47	*	X00162	339453	1470158	1475740	5583	-	1361	upstream	1361	TMEM240
chr1	2324926	2324998	73	*	X00304	79906	2252696	2322993	70298	-	1932	upstream	1932	MORN1
chr1	2489997	2490049	53	*	X00349	100133445	2486163	2488450	2288	-	1546	upstream	1546	NA
chr1	5923221	5923441	221	*	X00419	100616421	5922732	5922801	70	-	419	upstream	419	MIR4689
chr1	5923729	5923801	73	*	X00420	100616421	5922732	5922801	70	-	927	upstream	927	MIR4689
chr1	5923827	5923938	112	*	X00421	100616421	5922732	5922801	70	-	1025	upstream	1025	MIR4689
chr1	5924001	5924195	195	*	X00422	100616421	5922732	5922801	70	-	1199	upstream	1199	MIR4689
chr1	6682938	6683072	135	*	X00513	90326	6684925	6695646	10722	+	1852	upstream	1852	THAP3
chr1	6683853	6683972	120	*	X00514	90326	6684925	6695646	10722	+	952	upstream	952	THAP3
chr1	11898521	11898775	255	*	X00950	100379251	11900376	11907674	7299	+	1600	upstream	1600	NPPA-AS1
chr1	12567066	12567155	90	*	X01033	677882	12567300	12567451	152	+	144	upstream	144	SNORA59B
chr1	19211485	19211814	330	*	X01558	100616120	19209696	19209769	74	-	1715	upstream	1715	MIR4695
chr1	26604525	26604563	39	*	X02122	83442	26606213	26608013	1801	+	1649	upstream	1649	SH3BGRL3
chr1	26604639	26604771	133	*	X02123	83442	26606213	26608013	1801	+	1441	upstream	1441	SH3BGRL3
chr1	26880005	26880029	25	*	X02144	100302190	26881033	26881084	52	+	1003	upstream	1003	MIR1976
chr1	26880033	26880186	154	*	X02145	100302190	26881033	26881084	52	+	846	upstream	846	MIR1976
chr1	26880465	26880586	122	*	X02146	100302190	26881033	26881084	52	+	446	upstream	446	MIR1976
chr1	26880978	26881044	67	*	X02147	100302190	26881033	26881084	52	+	0	overlapStart	0	MIR1976
chr1	27218851	27219015	165	*	X02211	54707	27205873	27216869	10997	-	1981	upstream	1981	GPN2
chr1	28905141	28905275	135	*	X02342	692212	28905255	28905334	80	-	0	overlapEnd	58	SNORD99
chr1	31442169	31442333	165	*	X02392	692200	31441010	31441084	75	-	1084	upstream	1084	SNORD103C
chr1	32689763	32689897	135	*	X02503	56063	32680078	32687926	7849	-	1836	upstream	1836	TMEM234
chr1	41222654	41222788	135	*	X02887	407031	41222956	41223044	89	+	167	upstream	167	MIR30C1
chr1	41480142	41480272	131	*	X02907	100507178	41480262	41509562	29301	+	0	overlapStart	0	SLFNL1-AS1
chr1	44170115	44170219	105	*	X03228	6487	44171495	44396837	225343	+	1275	upstream	1275	ST3GAL3
chr1	44170761	44171075	315	*	X03229	6487	44171495	44396837	225343	+	419	upstream	419	ST3GAL3
chr1	45242525	45242598	74	*	X03367	94162	45243514	45243584	71	+	915	upstream	915	SNORD38A
chr1	45242525	45242598	74	*	X03367	94163	45244062	45244130	69	+	1463	upstream	1463	SNORD38B
chr1	45243574	45243678	105	*	X03368	94162	45243514	45243584	71	+	0	overlapEnd	59	SNORD38A
chr1	45243574	45243678	105	*	X03368	94163	45244062	45244130	69	+	383	upstream	383	SNORD38B
chr1	45807883	45808047	165	*	X03408	4595	45794914	45806142	11229	-	1740	upstream	1740	MUTYH
chr1	46113655	46113748	94	*	X03438	728963	46111452	46112357	906	-	1297	upstream	1297	RPS15AP10
chr1	71533694	71533802	109	*	X03995	406962	71533314	71533399	86	-	294	upstream	294	MIR186
chr1	93301593	93301712	120	*	X04148	6083	93302846	93302940	95	+	1133	upstream	1133	SNORD21
chr1	93302577	93302702	126	*	X04149	6083	93302846	93302940	95	+	143	upstream	143	SNORD21
chr1	117635786	117635905	120	*	X04498	100126331	117637265	117637350	86	+	1359	upstream	1359	MIR942
chr1	145523372	145523491	120	*	X04555	8515	145524990	145543868	18879	+	1498	upstream	1498	ITGA10
chr1	150478440	150478574	135	*	X04670	1893	150480487	150486265	5779	+	1912	upstream	1912	ECM1
chr1	150478616	150478780	165	*	X04671	1893	150480487	150486265	5779	+	1706	upstream	1706	ECM1
chr1	150478860	150478979	120	*	X04672	1893	150480487	150486265	5779	+	1507	upstream	1507	ECM1
chr1	150480147	150480295	149	*	X04673	1893	150480487	150486265	5779	+	191	upstream	191	ECM1
chr1	150480735	150480871	137	*	X04674	1893	150480487	150486265	5779	+	0	inside	247	ECM1
chr1	151007778	151007912	135	*	X04732	149428	151009029	151020076	11048	+	1116	upstream	1116	BNIPL
chr1	151148293	151148417	125	*	X04745	29765	151142463	151148547	6085	-	0	inside	129	TMOD4
chr1	151148479	151148658	180	*	X04746	29765	151142463	151148547	6085	-	0	overlapStart	0	TMOD4
chr1	151149154	151149318	165	*	X04747	29765	151142463	151148547	6085	-	606	upstream	606	TMOD4
chr1	153745750	153746076	327	*	X04843	11000	153747768	153752633	4866	+	1691	upstream	1691	SLC27A3
chr1	153920239	153920422	184	*	X04869	9909	153901977	153919154	17178	-	1084	upstream	1084	DENND4B
chr1	153920504	153920635	132	*	X04870	9909	153901977	153919154	17178	-	1349	upstream	1349	DENND4B
